product_id,winsorize,features,metrics,method,validation_predictions
P14,False,"['PRO27392_org', 'PRO28380_org', 'PRO27756_org']","{'RMSE': 13538.44998220729, 'MAPE': 116.41820274224048, 'R2': 0.2558844501699954, 'Overfit Score': -0.21700311301458136}",walkforward,"[5793.3994, 5356.8027, 8726.689, 8802.628, 11713.319, 19065.22, 7501.1104]"
P4,True,['P4_lag_3'],"{'RMSE': 101402.76095337588, 'MAPE': 32.26540714743207, 'R2': -1.2212644832662498, 'Overfit Score': -0.41364022619434393}",simple,"0   393575.0300
1   418528.8000
2   395733.7800
3   336727.2500
4   380167.3800
5   373868.6600
6   377616.7500
Name: TimeGPT, dtype: float64"
