product_id,winsorize,features,metrics,method,validation_predictions,model_config
P1,True,"['MAB_ELE_SHP840', 'PRO27826_org', 'MAB_ELE_SHP1100']","{'RMSE': 2164903.698579999, 'MAE': 1884676.8490321103, 'MAPE': 0.04772838063403607, 'Train_RMSE': 4622210.508123198, 'Train_MAE': 3249196.775904497, 'Train_MAPE': 0.1188067368091227}",walkforward,"[38381592.3566276, 36637869.13103685, 38206492.7355547, 37107270.67891507, 38005332.89356035, 43043843.92716191, 43638907.90382932]","{'seasonality_mode': 'additive', 'yearly_seasonality': False, 'weekly_seasonality': False, 'daily_seasonality': False, 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 10.0, 'extra_regressors': []}"
P11,True,['MAB_ELE_SHP276'],"{'RMSE': 1910222.9242023663, 'MAE': 1428460.7613989222, 'MAPE': 1.2774357302241224, 'Train_RMSE': 432781.45547200134, 'Train_MAE': 356107.87586768495, 'Train_MAPE': 0.4230995687221759}",walkforward,"[-377711.02042772213, 2015579.2291379024, 1418153.3340220433, 2407610.828564131, 1126221.5738205719, -761099.6321776544, 4580415.046036515]","{'seasonality_mode': 'multiplicative', 'yearly_seasonality': True, 'weekly_seasonality': False, 'daily_seasonality': False, 'changepoint_prior_scale': 0.15, 'seasonality_prior_scale': 20.0, 'extra_regressors': []}"
P12,True,"['PRI27840_org', 'RohCOPPER1000_org']","{'RMSE': 121752.31747205462, 'MAE': 105819.90785846561, 'MAPE': 0.4736212681804779, 'Train_RMSE': 102148.12871808454, 'Train_MAE': 76754.38610216124, 'Train_MAPE': 2.3331006000815724}",walkforward,"[369349.82445254776, 319490.21345874114, 368994.544326357, 366630.00383637875, 296935.7494550447, 301952.50147190026, 322989.2180226618]","{'seasonality_mode': 'additive', 'yearly_seasonality': False, 'weekly_seasonality': False, 'daily_seasonality': False, 'changepoint_prior_scale': 0.3, 'seasonality_prior_scale': 5.0, 'extra_regressors': []}"
P13,True,['PRO27756_org'],"{'RMSE': 13862.395299668142, 'MAE': 11157.736980490388, 'MAPE': 0.7228971546557078, 'Train_RMSE': 14561.095662061281, 'Train_MAE': 11613.765360651858, 'Train_MAPE': 0.7544097700800214}",walkforward,"[26367.19474951554, 34890.158529606764, 20757.267803255792, 33577.65442487343, 14122.535399881765, 17853.936048102587, 27079.890993249897]","{'seasonality_mode': 'additive', 'yearly_seasonality': False, 'weekly_seasonality': False, 'daily_seasonality': False, 'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 15.0, 'extra_seasonalities': [{'name': 'custom_17', 'period': 17, 'fourier_order': 3}]}"
P14,False,"['PRO27392_org', 'PRO28380_org']","{'RMSE': 10862.774807470123, 'MAE': 8736.242044545374, 'MAPE': 1.4580390325977415, 'Train_RMSE': 14176.176912706253, 'Train_MAE': 9348.3975814936, 'Train_MAPE': 4.1683317127108644e+18}",walkforward,"[24264.215365307835, 16801.644655882596, 14492.625189526527, 4719.758294096675, 8574.94438812492, 27790.398589789052, 14109.858197721182]","{'seasonality_mode': 'additive', 'yearly_seasonality': False, 'weekly_seasonality': False, 'daily_seasonality': False, 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 10.0, 'extra_seasonalities': [{'name': 'semiannual', 'period': 6, 'fourier_order': 3}]}"
P16,True,"['MAB_ELE_PRO756', 'PRO28826_org']","{'RMSE': 105075.4854275575, 'MAE': 93753.07639000252, 'MAPE': 0.8087485220449941, 'Train_RMSE': 565998.305266782, 'Train_MAE': 322002.1354645023, 'Train_MAPE': 1.1450027218004801}",walkforward,"[313801.24952184345, 317478.1739104292, 320559.92773766955, 220718.39520659603, 122219.84417187012, 69636.60750210428, 4527.695836286333]","{'seasonality_mode': 'additive', 'yearly_seasonality': False, 'weekly_seasonality': False, 'daily_seasonality': False, 'changepoint_prior_scale': 0.3, 'seasonality_prior_scale': 5.0, 'extra_regressors': []}"
P20,True,"['PRO271000_org', 'PRO27250_org', 'PRO28392_org']","{'RMSE': 2203.1225023638067, 'MAE': 1751.927254959744, 'MAPE': 1.3561799540713208e+17, 'Train_RMSE': 1875.9971184623325, 'Train_MAE': 1385.8751628723667, 'Train_MAPE': 4.563863310936599e+17}",walkforward,"[3278.4305419801412, 1283.5227437057997, 1505.9122093351016, 210.79270947630948, -1278.6010443092005, 1887.2805999500022, 2691.522714138342]","{'seasonality_mode': 'additive', 'yearly_seasonality': False, 'weekly_seasonality': False, 'daily_seasonality': False, 'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 15.0, 'extra_seasonalities': [{'name': 'custom_13', 'period': 13, 'fourier_order': 3}]}"
P3,True,['PRI27840_org'],"{'RMSE': 4038685.9299945347, 'MAE': 3465486.5869149766, 'MAPE': 0.23517318608311183, 'Train_RMSE': 592285.7269543762, 'Train_MAE': 507846.2882119432, 'Train_MAPE': 0.04448126323516256}",walkforward,"[11559876.765826682, 14287807.727026368, 13808729.984761078, 19435566.75471209, 10149992.648650296, 16647533.333986735, 18805883.916436285]","{'seasonality_mode': 'multiplicative', 'yearly_seasonality': True, 'weekly_seasonality': False, 'daily_seasonality': False, 'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 15.0, 'extra_regressors': []}"
P36,True,['MAB_ELE_PRO156'],"{'RMSE': 19721.328264619086, 'MAE': 15095.412222972502, 'MAPE': 3.0210164915192164, 'Train_RMSE': 35722.31486063785, 'Train_MAE': 21490.38582488385, 'Train_MAPE': 1.8768004643984288}",walkforward,"[1862.4196719311649, 31649.52490078316, 28766.35180447978, 20086.347027497697, 26904.748195501114, 38995.018301441545, 20245.654599134847]","{'seasonality_mode': 'multiplicative', 'yearly_seasonality': False, 'weekly_seasonality': False, 'daily_seasonality': False, 'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 15.0, 'extra_seasonalities': [{'name': 'custom_10', 'period': 10, 'fourier_order': 3}]}"
P4,True,['PRO27380_org'],"{'RMSE': 71391.64649264899, 'MAE': 58139.127422857135, 'MAPE': 0.20793889302575588, 'Train_RMSE': 168464.94246853192, 'Train_MAE': 120430.95723370832, 'Train_MAPE': 0.34833324655054754}",walkforward,"[335669.34306, 335669.34306, 335669.34306, 335669.34306, 335669.34306, 335669.34306, 335669.34306]","{'seasonality_mode': 'additive', 'yearly_seasonality': False, 'weekly_seasonality': False, 'daily_seasonity': False, 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 10.0, 'extra_seasonalities': [{'name': 'semiannual', 'period': 6, 'fourier_order': 3}]}"
P5,True,"['PRO27826_org', 'PRO271000_org']","{'RMSE': 2499421.6160656204, 'MAE': 2050974.1161908787, 'MAPE': 0.21796831126536276, 'Train_RMSE': 3096523.1782384813, 'Train_MAE': 2494175.462251289, 'Train_MAPE': 0.38490873627352923}",walkforward,"[13818065.574336061, 13234185.587254874, 13556603.229881546, 10859898.258961232, 9599700.472565604, 16496931.424052665, 9728105.399474168]","{'seasonality_mode': 'multiplicative', 'yearly_seasonality': False, 'weekly_seasonality': False, 'daily_seasonality': False, 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 10.0, 'extra_seasonalities': [{'name': 'semiannual', 'period': 6, 'fourier_order': 3}]}"
P6,False,['PRO27840_org'],"{'RMSE': 165017.50234798092, 'MAE': 125218.6612456901, 'MAPE': 0.6041242052675102, 'Train_RMSE': 235336.38055636082, 'Train_MAE': 182448.24215140595, 'Train_MAPE': 1.802288461460221}",walkforward,"[439774.8276186102, 402701.8597413018, 456813.19463034323, 399326.2522174983, 298551.5991674767, 309642.7738705507, 361916.02378729184]","{'seasonality_mode': 'additive', 'yearly_seasonality': False, 'weekly_seasonality': False, 'daily_seasonality': False, 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 10.0, 'extra_regressors': []}"
P8,True,['RohCOPPER1000_org'],"{'RMSE': 518120.0389103238, 'MAE': 362287.34747306554, 'MAPE': 0.47432668693825125, 'Train_RMSE': 301472.4897416328, 'Train_MAE': 217748.6265475347, 'Train_MAPE': 0.5074474810334118}",walkforward,"[1276208.3828853036, 1150978.2164113421, 1147551.7657760454, 1361248.0241018198, 1314713.5989537942, 1311196.4963639271, 1514622.1519018575]","{'seasonality_mode': 'additive', 'yearly_seasonality': False, 'weekly_seasonality': False, 'daily_seasonality': False, 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0, 'extra_seasonalities': [{'name': 'quarterly', 'period': 3, 'fourier_order': 3}]}"
P9,False,"['PRO27826_org', 'PRO28250_org']","{'RMSE': 16660.31606983655, 'MAE': 12479.952217095368, 'MAPE': 6.845342592701395, 'Train_RMSE': 2266.101131981883, 'Train_MAE': 1730.4612982564367, 'Train_MAPE': 2.9842246383198074e+17}",walkforward,"[-24691.229322834544, 11560.58297276361, 5212.281442989432, 5901.030695091264, -10682.121847377726, 36681.13818670897, 2649.0033365918953]","{'seasonality_mode': 'multiplicative', 'yearly_seasonality': True, 'weekly_seasonality': False, 'daily_seasonality': False, 'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 15.0, 'extra_regressors': []}"
Sales_CPI,True,"['PRI27276_org', 'PRO27826_org']","{'RMSE': 13022125.570232585, 'MAE': 10301338.340785697, 'MAPE': 0.15200089593966234, 'Train_RMSE': 4431715.862793789, 'Train_MAE': 2879243.010731366, 'Train_MAPE': 0.05490622729816755}",walkforward,"[64059033.083888136, 55041216.70058465, 86244574.25350825, 84736448.52266389, 66266841.85538667, 76635265.92737101, 74441051.3125792]","{'seasonality_mode': 'additive', 'yearly_seasonality': 'auto', 'weekly_seasonality': False, 'daily_seasonality': False, 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 10.0, 'extra_regressors': []}"
